HNBD,HelveticaNeue-Bold
HNBD,HelveticaNeueLTStd-Bd
HNBI,HelveticaNeue-BoldItalic
HNBI,HelveticaNeueLTStd-BdIt
HNBO,Helvetica-Narrow-BoldOblique
HNIT,HelveticaNeue-Italic
HNIT,HelveticaNeueLTStd-It
HNRM,HelveticaNeue-Roman
HNRM,HelveticaNeueLTStd-Roman
HNTH,HelveticaNeue-Thin
HNTH,HelveticaNeueLTStd-Th
HNTI,HelveticaNeue-ThinItalic
HNTI,HelveticaNeueLTStd-ThIt
HOBO,Hobo
HOBO,HoboStd
HVBK,Helvetica-Black
HVCB,Helvetica-Condensed-Bold
HVCO,Helvetica-Condensed-Oblique
HVKI,Helvetica-BlackOblique
LCSA,LucidaSans
LGBD,LetterGothicStd-Bold
LGBS,LetterGothicStd-BoldSlanted
LGOT,LetterGothicStd
LGSL,LetterGothicStd-Slanted
LIBS,Liberty-V
LINO,Linotext
LINO,Linotext-Dfr
LINS,Linoscript
LSBD,LucidaSans-Bold
LSBI,LucidaSans-BoldItalic
LSIT,LucidaSans-Italic
LUBD,Lucida-Bold
LUBI,Lucida-BoldItalic
LUIT,Lucida-Italic
LURG,Lucida
MEMB,Memphis-Bold
MEML,Memphis-Light
MEMM,Memphis-Medium
MEMX,Memphis-ExtraBold
MICR,MICR
MIST,Mistral
MPBI,Memphis-BoldItalic
MPLI,Memphis-LightItalic
MPMI,Memphis-MediumItalic
NBGB,NEBSGothicBold
NBGO,NEBSGothic
NCRF,NewCenturySchlbk-Roman
NGBD,NewsGothic-Bold
NGOT,NewsGothic
OCRA,OCRAStd
OCRB,OCRB
OFBD,OfficinaSans-Bold
OFBK,OfficinaSans-Book
OPTB,Optima-Bold
OPTB,OptimaLTStd-Bold
PABI,Palatino-BoldItalic
PABI,PalatinoLinotype-Italic
PALB,Palatino-Bold
PALB,PalatinoLinotype-Bold
PALI,Palatino-Italic
PALI,PalatinoLinotype-Italic
PALM,Palatino-Roman
PALM,PalatinoLinotype-Bold
PARK,ParkAvenue
RBDC,Copperplate-ThirtyAB
RGBD,Copperplate
RLTC,Copperplate-TwentyNineAB
SOBI,Souvenir-BoldItalic
SODI,Souvenir-DemiItalic
SOLI,Souvenir-LightItalic
SOVB,Souvenir-Bold
SOVD,Souvenir-Demi
SOVL,Souvenir-Light
SOVM,Souvenir-Medium
SRBS,SnellRoundhand-BoldScript
SRKS,SnellRoundhand-BlackScript
SRSC,SnellRoundhand-Script
STEN,Stencil
STEN,StencilStd
TBCO,TradeGothic-BoldCondTwentyObl
TGBC,TradeGothic-BoldCondTwenty
TGBO,TradeGothic-BoldOblique
TGLO,TradeGothic-LightOblique
TGOO,TradeGothic-Oblique
TIDI,Tiffany-DemiItalic
TIFD,Tiffany-Demi
TIFF,Tiffany
TIFH,Tiffany-Heavy
TIFI,Tiffany-Italic
TIHI,Tiffany-HeavyItalic
TMRO,Times-Roman
TMRO,TimesNewRomanPSMT
TMRO,TimesNewRomanPS
TRBD,Times-Bold
TRBD,TimesNewRomanPS-BoldMT
TRBD,TimesNewRomanPS-Bold
TRCO,TradeGothic-CondEighteenObl
TRGB,TradeGothic-Bold
TRGC,TradeGothic-CondEighteen
TRGL,TradeGothic-Light
TRGO,TradeGothic
TRIB,Times-BoldItalic
TRIB,TimesNewRomanPS-BoldItalicMT
