H01CF001393
H01CF001472
H01CF001888
H01CF002792
H01CF003413
H94CF003359
H94CF006402
H98CF002049
h98cf003771
H99CF003247
L04CF000470
L04CF000472
L04CF000785
L04CF000893
L04CF001148
L04CF001250
L04CF001544
L04CF001605
L04CF001726
L05CF000317
L05CF000321
l05cf000351
L05CF000393
l05cf000490
L05CF000528
l05cf000550
L05CF000619
L05CF000752
L05CF000854
L05CF000903
L05CF000980
L05CF000995
L05CF001055
L05CF001082
L05CF001188
L05CF001223
L05CF001231
L05CF001304
L05CF001427
L05CF001464
L05CF001484
l05cf001742
L05CF001807
L05CF001884
L05CF002125
L05CF002152
l05cf002153
L05CF002271
L05CF002443
L06CF000071
L06CF000083
L06CF000157
L06CF000159
L06CF000373
L06CF000399
L06CF000411
L06CF000509
L06CF000531
L06CF000540
L06CF000562
L06CF000613
l06cf000622
L06CF000718
L06CF000747
L06CF000750
L06CF000770
L06CF000797
l06cf000894
l06cf000898
l06cf000922
L06CF000926
L06CF000976
l06cf000977
L06CF000978
L06CF000979
L06CF000983
l07cf000052
L07CF000090
L07CF000158
L07CF000293
L07CF000324
l07cf000360
L07CF000370
L07CF000386
L07CF000464
L07CF000549
l07cf000568
L07CF000591
L08CF000144
L08CF000157
L08CF000163
L08CF000189
L08CF000205
L08CF000206
L08CF000207
L08CF000279
L08CF000310
L08CF000315
L08CF000331
L08CF000348
L08CF000351
L08CF000365
L08CF000447
L08CF000449
L08CF000525
L08CF000551
L08CF000570
L08CF000587
LW02
M01CF000016
M01CF000514
M01CF001749
M01CF001936
M01CF002085
M02CF000110
M02CF000166
M02CF000465
M02CF001080
M02CF001094
M02CF001599
M02CF001623
M02CF001628
M02CF001664
M02CF001665
M02CF001718
M02CF001829
M02CF001859
M02CF001876
M03CF000109
M03CF000220
M03CF000595
M03CF000627
M03CF000654
M03CF000805
M03CF000950
M03CF001098
M04CF000487
M04CF000606
M04CF000695
M04CF000739
M04CF000793
M05CF000113
M05CF000159
M05CF000178
M05CF000395
M05CF000413
M05CF000495
M05CF000496
M05CF000507
M05CF000576
M05CF000577
M05CF000578
M05CF000579
M96CF002244
M98CF000949
M98CF001414
M98CF001946
M99CF001569
S02CF000188
S02CF000204
S02CF001523
S02CF001588
S02CF001711
S02CF001875
S02CF001889
S03CF000220
S03CF000497
S03CF000857
S14CF000007
S14CF000008
S14CF000010
S14CF000014
w09cf000005
W09CF000014
W09CF000053
W09CF000054
w09cf000072
w09cf000104
w09cf000147
W09CF000148
w09cf000150
w09cf000245
W09CF000249
w09cf000262
w09cf000266
W09CF000271
W09CF000276
W09CF000293
W09CF000304
w10cf000003
w10cf000024
W10CF000028
W10CF000042
w10cf000074
W10CF000075
W10CF000078
W10CF000079
W10CF000136
w10cf000152
W10CF000177
W10CF000189
W11CF000008
W11CF000043
W11CF000056
w11cf000135
W11CF000139
w11cf000159
w12cf000012
w12cf000013
W12CF000020
w12cf000021
W12CF000041
w12cf000055
W12CF000060
w12cf000065
w12cf000094
W12CF000109
w13cf000090
W13CF000097
w13cf000121
W13CF000128
W13CF000150
W13CF000167
W14CF000030
W14CF000050
W14CF000057
W14CF000126
W14CF000131
W14CF000142
W14CF000143
w14cf000198
W14CF000238
W14CF000240
W14CF000253
w14cf000256
W14CF000257
W15CF000046
W15CF000047
W15CF000071
W15CF000081
W15CF000101
W15CF000120
W15CF000137
W15CF000165
W15CF000191
W15CF000226
W16CF001137
W17CF000012
W17CF000087
W17CF000177
Y06CF000006
Y06CF000058
Y06CF000091
Y06CF000113
Y06CF000137
Y06CF000144
Y06CF000170
Y06CF000171
Y06CF000182
Y06CF000191
Y06CF000221
Y06CF000231
Y06CF000320
Y06CF000324
Y06CF000385
Y07CF000155
Y07CF000156
Y07CF000158
Y07CF000190
Y07CF000201
Y07CF000248
Y07CF000295
Y08CF000005
Y08CF000109
Y08CF000132
Y08CF000133
Y08CF000134
Y08CF000168
Y08CF000184
Y08CF000215
Y08CF000218
Y08CF000258
Y08CF000271
y09cf000004
Y09CF000060
Y09CF000080
y09cf000092
y09cf000093
y09cf000114
Y09CF000116
